Codigo,Titulo
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y cazaT"
111,AgriculturaT
1111,"Cultivo de semillas oleaginosas, leguminosas y cerealesT"
11111,Cultivo de soyaT
111110,Cultivo de soya
11112,"Cultivo de semillas oleaginosas, excepto soyaT"
111121,Cultivo de cártamo
111122,Cultivo de girasol
111129,Cultivo anual de otras semillas oleaginosas
11113,Cultivo de leguminosasT
111131,Cultivo de frijol grano
111132,Cultivo de garbanzo grano
111139,Cultivo de otras leguminosas
11114,Cultivo de trigoT
111140,Cultivo de trigo
11115,Cultivo de maízT
111151,Cultivo de maíz grano
11119,Cultivo de otros cerealesT
111191,Cultivo de sorgo grano
111195,Cultivo de avena forrajera
111199,Cultivo de otros cereales
1112,Cultivo de hortalizasT
11121,Cultivo de hortalizasT
111211,Cultivo de jitomate o tomate rojo
111212,Cultivo de chile
111213,Cultivo de cebolla
111214,Cultivo de melón
111215,Cultivo de tomate verde
111216,Cultivo de papa
111217,Cultivo de calabaza
111218,Cultivo de sandía
111219,Cultivo de otras hortalizas
11132,Cultivo de otros cítricosT
111321,Cultivo de limón
111329,Cultivo de otros cítricos
11133,Cultivo de frutales no cítricos y de nuecesT
111331,Cultivo de café
111332,Cultivo de plátano
111333,Cultivo de mango
111334,Cultivo de aguacate
111335,Cultivo de uva
111336,Cultivo de manzana
111337,Cultivo de cacao
111338,Cultivo de coco
111339,Cultivo de otros frutales no cítricos y de nueces
1114,"Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floriculturaT"
11141,Cultivo de productos alimenticios en invernaderos y otras estructuras agrícolas protegidasT
111411,Cultivo de jitomate en invernaderos y otras estructuras agrícolas protegidas
111412,Cultivo de fresa en invernaderos y otras estructuras agrícolas protegidas
111413,"Cultivo de bayas (berries) en invernaderos y otras estructuras agrícolas protegidas, excepto fresas"
111414,Cultivo de chile en invernaderos y otras estructuras agrícolas protegidas
111415,Cultivo de manzana en invernaderos y otras estructuras agrícolas protegidas
111416,Cultivo de pepino en invernaderos y otras estructuras agrícolas protegidas
111419,Cultivo de otros productos alimenticios en invernaderos y otras estructuras agrícolas protegidas
11142,"Floricultura, y otros cultivos de productos no alimenticios en invernaderos y otras estructuras agrícolas protegidasT"
111421,Floricultura a cielo abierto
111422,Floricultura en invernaderos y otras estructuras agrícolas protegidas
111423,Cultivo de árboles de ciclo productivo de 10 años o menos
111429,Otros cultivos no alimenticios en invernaderos y otras estructuras agrícolas protegidas
1119,Otros cultivosT
11191,Cultivo de tabacoT
111910,Cultivo de tabaco
11192,Cultivo de algodónT
111920,Cultivo de algodón
11193,Cultivo de caña de azúcarT
111930,Cultivo de caña de azúcar
11194,Cultivo de alfalfa y pastosT
111941,Cultivo de alfalfa
111942,Cultivo de pastos
11199,Otros cultivosT
111991,Cultivo de agaves alcoholeros
111992,Cultivo de cacahuate
111993,Actividades agrícolas combinadas con explotación de animales
111994,Actividades agrícolas combinadas con aprovechamiento forestal
111995,Actividades agrícolas combinadas con explotación de animales y aprovechamiento forestal
111999,Otros cultivos
112,Cría y explotación de animalesT
1121,Explotación de bovinosT
11211,Explotación de bovinos para la producción de carneT
112110,Explotación de bovinos para la producción de carne
11212,Explotación de bovinos para la producción de lecheT
112120,Explotación de bovinos para la producción de leche
11213,Explotación de bovinos sin especialización y para otros propósitosT
112131,Explotación de bovinos para la producción conjunta de leche y carne
112139,Explotación de bovinos para otros propósitos
1122,Explotación de porcinosT
11221,Explotación de porcinosT
112211,Explotación de porcinos en granja
112212,Explotación de porcinos en traspatio
1123,Explotación avícolaT
11231,Explotación de gallinas para la producción de huevoT
112311,Explotación de gallinas para la producción de huevo fértil
112312,Explotación de gallinas para la producción de huevo para plato
11232,Explotación de pollos para la producción de carneT
112320,Explotación de pollos para la producción de carne
11233,Explotación de guajolotes o pavosT
112330,Explotación de guajolotes o pavos
11234,Producción de aves en incubadoraT
112340,Producción de aves en incubadora
11239,Explotación de otras aves para producción de carne y huevoT
112390,Explotación de otras aves para producción de carne y huevo
1124,Explotación de ovinos y caprinosT
11241,Explotación de ovinosT
112410,Explotación de ovinos
11242,Explotación de caprinosT
112420,Explotación de caprinos
1125,AcuiculturaT
11251,AcuiculturaT
112513,Camaronicultura y acuicultura de otros crustáceos en agua salada
112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce
112515,Piscicultura en agua dulce
112516,Piscicultura en agua salada
112519,Otra acuicultura
1129,Explotación de otros animalesT
11291,ApiculturaT
112910,Apicultura
11292,Explotación de équidosT
112920,Explotación de équidos
11293,Cunicultura y explotación de animales con pelaje finoT
112930,Cunicultura y explotación de animales con pelaje fino
11299,Explotación de otros animalesT
112991,Explotación de animales combinada con aprovechamiento forestal
112999,Explotación de otros animales
113,Aprovechamiento forestalT
1131,SilviculturaT
11311,SilviculturaT
113110,Silvicultura 
1132,Viveros forestales y recolección de productos forestalesT
11321,Viveros forestales y recolección de productos forestalesT
113211,Viveros forestales 
113212,Recolección de productos forestales 
1133,Aprovechamiento de árbolesT
11331,Aprovechamiento de árbolesT
113310,Aprovechamiento de árboles
114,"Pesca, caza y capturaT"
1141,PescaT
11411,PescaT
114111,Pesca de camarón
114112,Pesca de túnidos
114113,Pesca de sardina y anchoveta
114119,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies"
1142,Caza y capturaT
11421,Caza y capturaT
114210,Caza y captura
115,Servicios relacionados con las actividades agropecuarias y forestalesT
1151,Servicios relacionados con la agriculturaT
11511,Servicios relacionados con la agriculturaT
115111,Servicios de fumigación agrícola
115112,Despepite de algodón
115113,Beneficio de productos agrícolas
115119,Otros servicios relacionados con la agricultura
1152,Servicios relacionados con la cría y explotación de animalesT
11521,Servicios relacionados con la cría y explotación de animalesT
115210,Servicios relacionados con la cría y explotación de animales
1153,Servicios relacionados con el aprovechamiento forestalT
11531,Servicios relacionados con el aprovechamiento forestalT
115310,Servicios relacionados con el aprovechamiento forestal 
21,MineríaT
211,Extracción de petróleo y gasT
2111,Extracción de petróleo y gasT
21111,Extracción de petróleo y gas
211111,Extracción de petróleo y gas natural asociado
211112,Extracción de gas natural no asociado
212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gasT"
2121,Minería de carbón mineralT
21211,Minería de carbón mineralT
212110,Minería de carbón mineral
2122,Minería de minerales metálicosT
21221,Minería de hierroT
212210,Minería de hierro
21222,Minería de oro y plataT
212221,Minería de oro
212222,Minería de plata
21223,"Minería de cobre, plomo y zincT"
212231,Minería de cobre
212232,Minería de plomo y zinc
21229,Minería de otros minerales metálicosT
212291,Minería de manganeso
212292,Minería de mercurio y antimonio
212293,Minería de uranio y minerales radiactivos
212299,Minería de otros minerales metálicos
2123,Minería de minerales no metálicosT
21231,"Minería de piedra caliza, mármol y otras piedras dimensionadasT"
212311,Minería de piedra caliza
212312,Minería de mármol
212319,Minería de otras piedras dimensionadas
21232,"Minería de arena, grava, tezontle, tepetate, arcillas y de otros minerales refractariosT"
212321,Minería de arena y grava para la construcción
212322,Minería de tezontle y tepetate
212323,Minería de feldespato
212324,Minería de sílice
212325,Minería de caolín
212329,Minería de otras arcillas y de otros minerales refractarios
21239,Minería de otros minerales no metálicosT
212391,Minería de sal
212392,Minería de piedra de yeso
212393,Minería de barita
212394,Minería de roca fosfórica
212395,Minería de fluorita
212396,Minería de grafito
212397,Minería de azufre
212398,Minería de minerales no metálicos para productos químicos
212399,Minería de otros minerales no metálicos
213,Servicios relacionados con la mineríaT
2131,Servicios relacionados con la mineríaT
21311,Servicios relacionados con la mineríaT
213111,Perforación de pozos petroleros y de gas
213119,Otros servicios relacionados con la minería
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor finalT"
221,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor finalT"
2211,"Generación, transmisión, distribución y comercialización de energía eléctricaT"
22111,Generación de energía eléctricaT
221111,Generación de electricidad a partir de combustibles fósiles
221112,Generación de electricidad a partir de energía hidráulica
221113,Generación de electricidad a partir de energía solar
221114,Generación de electricidad a partir de energía eólica
221119,Generación de electricidad a partir de otro tipo de energía
22112,"Transmisión, distribución y comercialización de energía eléctricaT"
221121,Transmisión de energía eléctrica
221122,Distribución de energía eléctrica
221123,Comercialización de energía eléctrica
2212,Suministro de gas natural por ductos al consumidor finalT
22121,Suministro de gas natural por ductos al consumidor finalT
221210,Suministro de gas natural por ductos al consumidor final
2213,"Captación, tratamiento y suministro de aguaT"
22131,"Captación, tratamiento y suministro de agua"
221311,"Captación, tratamiento y suministro de agua realizados por el sector privado"
221312,"Captación, tratamiento y suministro de agua realizados por el sector público"
23,ConstrucciónT
236,EdificaciónT
2361,Edificación residencialT
23611,Edificación residencialT
236111,Edificación de vivienda unifamiliar
236112,Edificación de vivienda multifamiliar
236113,Supervisión de edificación residencial
2362,Edificación no residencialT
23621,Edificación de naves y plantas industrialesT
236211,"Edificación de naves y plantas industriales, excepto la supervisión"
236212,Supervisión de edificación de naves y plantas industriales
23622,"Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residencialesT"
236221,"Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales, excepto la supervisión"
236222,"Supervisión de edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales"
237,Construcción de obras de ingeniería civilT
2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicacionesT"
23711,"Construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riegoT"
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
237112,Construcción de sistemas de riego agrícola
237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego"
23712,Construcción de obras para petróleo y gasT
237121,Construcción de sistemas de distribución de petróleo y gas
237122,Construcción de plantas de refinería y petroquímica
237123,Supervisión de construcción de obras para petróleo y gas
23713,Construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicacionesT
237131,Construcción de obras de generación y conducción de energía eléctrica
237132,Construcción de obras para telecomunicaciones
237133,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
2372,División de terrenos y construcción de obras de urbanizaciónT
23721,División de terrenos y construcción de obras de urbanizaciónT
237211,División de terrenos
237212,Construcción de obras de urbanización
237213,Supervisión de división de terrenos y de construcción de obras de urbanización
2373,Construcción de vías de comunicaciónT
23731,Construcción de vías de comunicaciónT
237311,Instalación de señalamientos y protecciones en obras viales
237312,"Construcción de carreteras, puentes y similares"
237313,Supervisión de construcción de vías de comunicación
2379,Otras construcciones de ingeniería civilT
23799,Otras construcciones de ingeniería civilT
237991,Construcción de presas y represas
237992,"Construcción de obras marítimas, fluviales y subacuáticas"
237993,Construcción de obras para transporte eléctrico y ferroviario
237994,Supervisión de construcción de otras obras de ingeniería civil 
237999,Otras construcciones de ingeniería civil
238,Trabajos especializados para la construcciónT
2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exterioresT"
23811,Trabajos de cimentaciones
238110,Trabajos de cimentaciones
23812,Montaje de estructuras prefabricadas
238121,Montaje de estructuras de concreto prefabricadas
238122,Montaje de estructuras de acero prefabricadas
